,Industry,Sub Industry,Region,Company size,Annual revenue(USD),Contract value(USD),Contract length(m),Product usage hours(3m),Product usage hours(12m),Login frequency(30d),Active users,Licensed users,Analyst calls(6m),Support tickets(6m),Support escalations(6m),Avg resolution time(hrs),Nps score,Survey response count(12m),Discount,Account notes,Churn flag,Tenure(d),missing_discount,missing_licensed_users,missing_avg_resolution,missing_contract,missing_tenure,missing_support_esc,missing_analyst_calls,missing_product_usage(3m),missing_product_usage(12m),missing_nps_score,missing_contract_length,Utilization ratio,Utilization Bin,Resolution_Time_Bucket,NPS_Category,tenure_bucket
21523,Manufacturing,,Middle East,500,161092.53,,12,70.69,342.64,,11,10,1.0,1,,8.48,89,1,,bad experince,0.0,276,1,0,0,1,0,1,0,0,0,0,0,1.1,,6-12h,Promoter (51 to 100),6-12 months
21524,Healthcare,Infra,North America,200,43288.23,30215.76,48,133.32,446.57,0.85,4,100,2.0,2,1.0,,72,0,,renewal likely,0.0,,1,0,1,0,1,0,0,0,0,0,0,0.04,"(0.0, 0.2]",,Promoter (51 to 100),
21525,Healthcare,,Europe,10000,193634.96,,,172.82,595.84,,8,5,3.0,3,1.0,23.5,,2,,,0.0,353,1,0,0,1,0,0,0,0,0,1,1,1.6,,12-24h,,6-12 months
21526,Energy,Cloud,Europe,1000,,137118.97,24,47.98,746.82,2.38,6,100,0.0,6,0.0,13.69,-17,0,0.1,executive sponsor left,1.0,359,0,0,0,0,0,0,0,0,0,0,0,0.06,"(0.0, 0.2]",12-24h,Detractor (-100 to 0),6-12 months
21527,Finance,,Europe,10000,16173.72,,36,,578.25,1.68,6,,4.0,2,0.0,,-48,1,0.2,,0.0,276,0,1,1,1,0,0,0,1,0,0,0,,,,Detractor (-100 to 0),6-12 months
21528,Finance,E-commerce,Latam,50,66927.08,78047.15,,123.77,454.13,5.63,6,100,2.0,4,3.0,93.12,-56,2,0.05,,0.0,2165,0,0,0,0,0,0,0,0,0,0,1,0.06,"(0.0, 0.2]",48h+,Detractor (-100 to 0),5-10 years
21529,Saas,Infra,Apac,10000,,133359.88,12,91.13,543.38,0.99,5,10,1.0,,1.0,78.8,20,3,,pricing issue,0.0,16,1,0,0,0,0,0,0,0,0,0,0,0.5,"(0.4, 0.6]",48h+,Passive (1 to 50),0-3 months
21530,Technology,,Europe,10000,31069.11,72594.38,,111.83,,5.03,7,5,2.0,1,0.0,90.78,-26,,0.05,integration problem,0.0,,0,0,0,0,1,0,0,0,1,0,1,1.4,,48h+,Detractor (-100 to 0),
21531,Finance,,North America,,,,36,201.55,454.33,6.67,5,20,2.0,6,1.0,,-37,0,,,0.0,,1,0,1,1,1,0,0,0,0,0,0,0.25,"(0.2, 0.4]",,Detractor (-100 to 0),
21532,Finance,Cloud,Europe,,2222244.96,90895.78,24,,380.75,4.97,9,20,,3,0.0,,-35,2,0.0,bad experince,0.0,1527,0,0,1,0,0,0,1,1,0,0,0,0.45,"(0.4, 0.6]",,Detractor (-100 to 0),3-5 years
21533,Manufacturing,Infra,,10000,,,12,180.29,498.61,6.63,9,,1.0,3,0.0,56.58,53,1,0.2,integration problem,0.0,1027,0,1,0,1,0,0,0,0,0,0,0,,,48h+,Promoter (51 to 100),2-3 years
21534,,Cybersecurity,Middle East,1000,134359.33,67916.62,12,177.72,649.33,5.86,,,4.0,3,,55.79,-78,0,0.15,bad experince,0.0,712,0,1,0,0,0,1,0,0,0,0,0,,,48h+,Detractor (-100 to 0),18-24 months
21535,Finance,,Europe,50,,62696.48,,123.49,599.41,0.78,4,10,1.0,2,0.0,35.04,-44,,0.2,needs training,0.0,1782,0,0,0,0,0,0,0,0,0,0,1,0.4,"(0.2, 0.4]",24-48h,Detractor (-100 to 0),3-5 years
21536,Healthcare,,North America,5000,375635.63,156416.17,36,80.45,380.22,1.52,8,,,7,2.0,51.26,79,,0.2,,0.0,478,0,1,0,0,0,0,1,0,0,0,0,,,48h+,Promoter (51 to 100),12-18 months
21537,Healthcare,,North America,500,12782.95,44313.04,12,,455.13,7.61,,100,1.0,2,0.0,20.52,,2,,needs training,0.0,,1,0,0,0,1,0,0,1,0,1,0,,,12-24h,,
21538,Healthcare,E-commerce,,1000,25339.59,,48,160.39,263.2,3.52,8,,2.0,2,0.0,47.31,71,0,0.05,renewal likely,0.0,238,0,1,0,1,0,0,0,0,0,0,0,,,24-48h,Promoter (51 to 100),6-12 months
21539,Finance,Cybersecurity,,10000,6413.15,102216.87,12,,721.19,3.23,8,10,2.0,5,0.0,69.62,46,1,,needs training,0.0,128,1,0,0,0,0,0,0,1,0,0,0,0.8,"(0.6, 0.8]",48h+,Passive (1 to 50),3-6 months
21540,,,,500,100607.63,,,85.79,593.69,13.34,,,5.0,,,98.85,-57,1,0.2,pricing issue,0.0,651,0,1,0,1,0,1,0,0,0,0,1,,,48h+,Detractor (-100 to 0),18-24 months
21541,Manufacturing,E-commerce,Europe,200,219044.56,,36,126.59,400.37,7.49,5,5,2.0,1,1.0,,-75,3,0.1,integration problem,0.0,1254,0,0,1,1,0,0,0,0,0,0,0,1.0,"(0.8, 1.0]",,Detractor (-100 to 0),3-5 years
21542,Finance,,North America,5000,19052.7,93869.83,12,115.06,195.39,6.53,5,20,1.0,3,0.0,,-97,2,0.1,low usage,0.0,151,0,0,1,0,0,0,0,0,0,0,0,0.25,"(0.2, 0.4]",,Detractor (-100 to 0),3-6 months
21543,Healthcare,,Latam,,54259.76,49685.42,36,9.38,293.88,12.09,10,,3.0,4,3.0,71.31,31,3,0.2,executive sponsor left,0.0,537,0,1,0,0,0,0,0,0,0,0,0,,,48h+,Passive (1 to 50),12-18 months
21544,Saas,,North America,500,2665797.42,,36,67.02,492.91,20.6,6,10,1.0,6,2.0,,15,,0.05,satisfied,0.0,227,0,0,1,1,0,0,0,0,0,0,0,0.6,"(0.4, 0.6]",,Passive (1 to 50),6-12 months
21545,,Payments,Apac,500,177229.61,60219.94,,116.6,465.72,0.99,9,50,0.0,4,2.0,27.41,-3,4,0.2,needs training,0.0,288,0,0,0,0,0,0,0,0,0,0,1,0.18,"(0.0, 0.2]",24-48h,Detractor (-100 to 0),6-12 months
21546,,Payments,,500,64841.29,,36,,878.02,19.89,10,,0.0,5,1.0,,42,0,,,0.0,573,1,1,1,1,0,0,0,1,0,0,0,,,,Passive (1 to 50),18-24 months
21547,Finance,Data,Europe,5000,8713.45,61738.09,12,22.35,870.83,8.55,3,50,0.0,1,,35.93,-52,0,,satisfied,1.0,2799,1,0,0,0,0,1,0,0,0,0,0,0.06,"(0.0, 0.2]",24-48h,Detractor (-100 to 0),5-10 years
21548,,Cloud,Apac,,411068.3,157192.28,24,75.95,766.1,,,100,1.0,,1.0,44.85,-37,1,0.05,executive sponsor left,0.0,6,0,0,0,0,0,0,0,0,0,0,0,,,24-48h,Detractor (-100 to 0),0-3 months
21549,Manufacturing,,,1000,,86968.34,,41.15,766.32,9.83,7,,1.0,,2.0,,16,1,,needs training,0.0,230,1,1,1,0,0,0,0,0,0,0,1,,,,Passive (1 to 50),6-12 months
21550,Healthcare,AI,Europe,,276916.75,,48,,683.7,4.26,8,,1.0,3,,49.57,-43,0,0.0,needs training,0.0,631,0,1,0,1,0,1,0,1,0,0,0,,,48h+,Detractor (-100 to 0),18-24 months
21551,Healthcare,AI,Middle East,,,111450.82,,53.13,427.23,,7,100,1.0,4,1.0,,57,2,0.1,pricing issue,0.0,3311,0,0,1,0,0,0,0,0,0,0,1,0.07,"(0.0, 0.2]",,Promoter (51 to 100),5-10 years
21552,Technology,Data,Middle East,200,10381.92,57927.21,36,28.38,654.13,27.58,6,,,4,0.0,,-95,3,0.2,pricing issue,1.0,,0,1,1,0,1,0,1,0,0,0,0,,,,Detractor (-100 to 0),
21553,Manufacturing,,North America,1000,375508.43,25813.36,,210.9,413.84,19.7,2,10,,5,0.0,,92,1,0.05,integration problem,0.0,566,0,0,1,0,0,0,1,0,0,0,1,0.2,"(0.0, 0.2]",,Promoter (51 to 100),18-24 months
21554,Finance,,Europe,10000,,65155.71,24,112.01,645.91,1.44,7,10,2.0,2,2.0,13.88,-6,1,0.05,bad experince,0.0,,0,0,0,0,1,0,0,0,0,0,0,0.7,"(0.6, 0.8]",12-24h,Detractor (-100 to 0),
21555,Technology,Cloud,Latam,500,49761.23,110530.45,36,,476.84,3.7,4,50,,2,0.0,50.4,-25,4,,executive sponsor left,0.0,577,1,0,0,0,0,0,1,1,0,0,0,0.08,"(0.0, 0.2]",48h+,Detractor (-100 to 0),18-24 months
21556,Healthcare,Infra,North America,,,172519.1,36,,405.39,5.9,5,100,3.0,3,0.0,41.69,13,1,0.05,,0.0,,0,0,0,0,1,0,0,1,0,0,0,0.05,"(0.0, 0.2]",24-48h,Passive (1 to 50),
21557,Healthcare,Payments,Middle East,500,1776.34,,36,164.54,422.45,8.04,3,20,2.0,2,0.0,54.78,-32,1,0.05,,0.0,2470,0,0,0,1,0,0,0,0,0,0,0,0.15,"(0.0, 0.2]",48h+,Detractor (-100 to 0),5-10 years
21558,Healthcare,Payments,Middle East,5000,433178.22,135025.57,48,69.52,288.39,13.06,4,50,4.0,5,0.0,,15,,0.1,neutral,0.0,,0,0,1,0,1,0,0,0,0,0,0,0.08,"(0.0, 0.2]",,Passive (1 to 50),
21559,,E-commerce,,1000,61678.84,35690.67,36,,186.01,0.42,2,100,0.0,5,0.0,,-68,0,,neutral,0.0,115,1,0,1,0,0,0,0,1,0,0,0,0.02,"(0.0, 0.2]",,Detractor (-100 to 0),3-6 months
21560,Technology,,North America,5000,46290.55,48041.52,48,153.44,613.98,,13,20,,4,,71.35,-18,,0.05,,0.0,2506,0,0,0,0,0,1,1,0,0,0,0,0.65,"(0.6, 0.8]",48h+,Detractor (-100 to 0),5-10 years
21561,Retail,AI,North America,5000,114787.08,128665.84,,56.27,692.97,2.02,5,20,,2,3.0,,-16,1,,low usage,1.0,317,1,0,1,0,0,0,1,0,0,0,1,0.25,"(0.2, 0.4]",,Detractor (-100 to 0),6-12 months
21562,Finance,AI,Apac,,71824.49,114518.96,48,156.57,626.89,16.48,,100,1.0,6,0.0,,-67,1,0.1,bad experince,0.0,,0,0,1,0,1,0,0,0,0,0,0,,,,Detractor (-100 to 0),
21563,Energy,E-commerce,Europe,500,14122.49,64930.17,12,61.02,635.98,35.53,7,20,2.0,3,1.0,79.74,-68,1,0.0,low usage,0.0,1159,0,0,0,0,0,0,0,0,0,0,0,0.35,"(0.2, 0.4]",48h+,Detractor (-100 to 0),3-5 years
21564,Saas,,,5000,178085.71,,24,98.59,706.25,3.56,5,,,2,,67.44,,1,, pricing issue,0.0,183,1,1,0,1,0,1,1,0,0,1,0,,,48h+,,6-12 months
21565,Manufacturing,Cybersecurity,Europe,500,29489.35,49324.95,,103.64,626.53,15.16,8,10,1.0,,0.0,50.2,78,1,0.1,bad experince,0.0,1598,0,0,0,0,0,0,0,0,0,0,1,0.8,"(0.6, 0.8]",48h+,Promoter (51 to 100),3-5 years
21566,,Payments,Europe,,29000.81,,36,120.24,125.33,0.13,5,10,,3,,34.8,-67,0,,,0.0,,1,0,0,1,1,1,1,0,0,0,0,0.5,"(0.4, 0.6]",24-48h,Detractor (-100 to 0),
21567,Retail,Payments,Latam,10000,251286.07,,36,114.83,717.94,0.9,10,100,2.0,3,0.0,78.57,-5,1,,needs training,0.0,2501,1,0,0,1,0,0,0,0,0,0,0,0.1,"(0.0, 0.2]",48h+,Detractor (-100 to 0),5-10 years
21568,,E-commerce,Apac,500,473763.98,92506.5,24,111.53,571.66,1.91,5,50,,4,0.0,44.42,-80,1,0.1,,0.0,,0,0,0,0,1,0,1,0,0,0,0,0.1,"(0.0, 0.2]",24-48h,Detractor (-100 to 0),
21569,Technology,,North America,500,,143693.12,48,106.66,637.43,0.59,,,0.0,4,0.0,27.23,62,1,0.0,integration problem,0.0,15,0,1,0,0,0,0,0,0,0,0,0,,,24-48h,Promoter (51 to 100),0-3 months
21570,Finance,Infra,North America,200,180343.85,142349.64,,86.53,380.95,6.55,5,5,3.0,1,1.0,48.59,65,1,0.1, renew@l likely ,0.0,2635,0,0,0,0,0,0,0,0,0,0,1,1.0,"(0.8, 1.0]",48h+,Promoter (51 to 100),5-10 years
21571,Finance,AI,Latam,500,18635.13,,,2.56,1038.79,23.53,4,,0.0,3,,53.28,-10,3,0.1,,0.0,1679,0,1,0,1,0,1,0,0,0,0,1,,,48h+,Detractor (-100 to 0),3-5 years
21572,,AI,North America,50,361886.55,61402.65,12,80.11,301.19,23.33,,20,1.0,6,2.0,42.1,-6,2,,low usage,0.0,2231,1,0,0,0,0,0,0,0,0,0,0,,,24-48h,Detractor (-100 to 0),5-10 years
21573,,Cloud,Europe,1000,,,24,145.92,182.79,3.41,,,0.0,1,0.0,12.97,-54,,0.2,neutral,0.0,685,0,1,0,1,0,0,0,0,0,0,0,,,12-24h,Detractor (-100 to 0),18-24 months
21574,Healthcare,,North America,500,32865.23,136303.38,12,233.62,948.15,5.4,10,50,0.0,,1.0,,26,1,0.15,,0.0,415,0,0,1,0,0,0,0,0,0,0,0,0.2,"(0.0, 0.2]",,Passive (1 to 50),12-18 months
21575,Manufacturing,Cloud,,10000,104551.66,2872.68,12,162.69,502.92,6.75,6,100,2.0,5,0.0,64.45,-16,0,, neutr@l ,0.0,698,1,0,0,0,0,0,0,0,0,0,0,0.06,"(0.0, 0.2]",48h+,Detractor (-100 to 0),18-24 months
21576,Finance,,Europe,500,111300.88,104649.54,,232.51,235.02,0.83,4,20,6.0,,,64.93,7,1,,,0.0,,1,0,0,0,1,1,0,0,0,0,1,0.2,"(0.0, 0.2]",48h+,Passive (1 to 50),
21577,Technology,Payments,North America,10000,,-8870.74,24,173.7,503.43,,,5,2.0,4,3.0,67.55,47,1,,needs training,0.0,737,1,0,0,0,0,0,0,0,0,0,0,,,48h+,Passive (1 to 50),2-3 years
21578,Energy,Cloud,,,310808.5,,36,89.33,843.58,5.25,13,50,,6,1.0,4.76,38,0,0.15,,0.0,1128,0,0,0,1,0,0,1,0,0,0,0,0.26,"(0.2, 0.4]",<6h,Passive (1 to 50),3-5 years
21579,Energy,AI,North America,,44033.47,,24,-34.69,561.37,1.96,8,10,0.0,2,,,-48,0,0.0,pricing issue,1.0,1565,0,0,1,1,0,1,0,0,0,0,0,0.8,"(0.6, 0.8]",,Detractor (-100 to 0),3-5 years
21580,,AI,Latam,,372419.7,94479.23,36,96.1,286.57,,6,5,,1,,97.83,18,0,,,0.0,,1,0,0,0,1,1,1,0,0,0,0,1.2,,48h+,Passive (1 to 50),
21581,,Cybersecurity,North America,200,5192.07,119713.99,36,116.2,689.1,19.97,2,,3.0,,1.0,50.84,,1,0.15,,0.0,2422,0,1,0,0,0,0,0,0,0,1,0,,,48h+,,5-10 years
21582,Saas,Infra,Latam,200,202957.94,,48,12.26,712.43,7.72,8,5,2.0,5,,,0,0,,executive sponsor left,0.0,2987,1,0,1,1,0,1,0,0,0,0,0,1.6,,,Detractor (-100 to 0),5-10 years
21583,Technology,Infra,Middle East,500,37122.03,-6044.86,48,136.74,661.57,14.19,5,100,0.0,2,,29.7,32,,,renewal likely,0.0,6,1,0,0,0,0,1,0,0,0,0,0,0.05,"(0.0, 0.2]",24-48h,Passive (1 to 50),0-3 months
21584,Technology,,Latam,,24905.54,156840.91,24,209.97,542.89,25.13,11,20,0.0,4,0.0,81.17,-95,0,,pricing issue,0.0,,1,0,0,0,1,0,0,0,0,0,0,0.55,"(0.4, 0.6]",48h+,Detractor (-100 to 0),
21585,Finance,Data,Europe,200,,92331.58,,,208.22,7.42,2,5,,5,1.0,,87,1,, s@tisfied ,0.0,,1,0,1,0,1,0,1,1,0,0,1,0.4,"(0.2, 0.4]",,Promoter (51 to 100),
21586,Finance,Payments,North America,5000,210928.09,-16951.46,,88.38,661.47,1.96,6,10,0.0,2,,15.51,-19,2,0.15, bad experince,0.0,760,0,0,0,0,0,1,0,0,0,0,1,0.6,"(0.4, 0.6]",12-24h,Detractor (-100 to 0),2-3 years
21587,Healthcare,,,10000,51312.35,161532.97,36,198.33,458.81,1.64,8,10,,5,,30.11,-24,2,,,0.0,615,1,0,0,0,0,1,1,0,0,0,0,0.8,"(0.6, 0.8]",24-48h,Detractor (-100 to 0),18-24 months
21588,Finance,AI,,500,724983.03,,36,91.04,621.87,1.74,,20,0.0,1,,7.91,-25,0,0.05,pricing issue,0.0,13,0,0,0,1,0,1,0,0,0,0,0,,,6-12h,Detractor (-100 to 0),0-3 months
21589,Healthcare,Data,Europe,5000,,,24,130.12,557.18,1.08,5,20,2.0,3,0.0,37.93,-13,0,0.2,pricing issue,0.0,,0,0,0,1,1,0,0,0,0,0,0,0.25,"(0.2, 0.4]",24-48h,Detractor (-100 to 0),
21590,,Infra,Europe,500,130044.79,130567.08,12,171.09,448.67,14.77,5,100,2.0,8,0.0,,-88,0,0.05,executive sponsor left,0.0,133,0,0,1,0,0,0,0,0,0,0,0,0.05,"(0.0, 0.2]",,Detractor (-100 to 0),3-6 months
21591,Saas,AI,Apac,10000,75169.27,-14252.13,12,,518.03,0.4,3,20,2.0,1,0.0,0.17,-27,4,0.1,needs training,0.0,890,0,0,0,0,0,0,0,1,0,0,0,0.15,"(0.0, 0.2]",<6h,Detractor (-100 to 0),2-3 years
21592,Retail,,Europe,,,,,157.52,356.78,19.41,4,50,1.0,0,,48.63,-97,1,0.1,,0.0,145,0,0,0,1,0,1,0,0,0,0,1,0.08,"(0.0, 0.2]",48h+,Detractor (-100 to 0),3-6 months
21593,Saas,,Apac,,57236.97,100380.75,12,83.23,645.59,22.63,6,20,1.0,7,1.0,75.49,66,0,,,0.0,487,1,0,0,0,0,0,0,0,0,0,0,0.3,"(0.2, 0.4]",48h+,Promoter (51 to 100),12-18 months
21594,Healthcare,Cloud,Europe,50,,80095.99,,124.49,432.28,19.44,7,20,,4,0.0,78.66,-33,1,0.2,satisfied,0.0,666,0,0,0,0,0,0,1,0,0,0,1,0.35,"(0.2, 0.4]",48h+,Detractor (-100 to 0),18-24 months
21595,Finance,Cybersecurity,,50,28018.86,117802.76,,57.55,629.53,0.63,3,5,2.0,4,3.0,46.0,-12,1,,,0.0,733,1,0,0,0,0,0,0,0,0,0,1,0.6,"(0.4, 0.6]",24-48h,Detractor (-100 to 0),2-3 years
21596,Technology,AI,North America,,63555.66,12902.82,36,205.15,331.64,10.54,7,100,1.0,4,1.0,1.31,-16,1,0.2,integration problem,0.0,83,0,0,0,0,0,0,0,0,0,0,0,0.07,"(0.0, 0.2]",<6h,Detractor (-100 to 0),0-3 months
21597,Manufacturing,Cloud,Europe,1000,,182729.24,36,140.54,667.54,21.33,6,,,2,0.0,,-3,1,0.2,bad experince,0.0,1573,0,1,1,0,0,0,1,0,0,0,0,,,,Detractor (-100 to 0),3-5 years
21598,Finance,E-commerce,Apac,,19157.33,102207.17,,94.43,589.05,13.01,6,20,,4,0.0,27.25,-34,0,0.15,low usage,0.0,985,0,0,0,0,0,0,1,0,0,0,1,0.3,"(0.2, 0.4]",24-48h,Detractor (-100 to 0),2-3 years
21599,Healthcare,Data,,10000,247323.17,,48,156.06,5.62,14.63,5,20,4.0,4,0.0,69.14,-96,4,0.2,neutral,0.0,2043,0,0,0,1,0,0,0,0,0,0,0,0.25,"(0.2, 0.4]",48h+,Detractor (-100 to 0),5-10 years
21600,Energy,Cybersecurity,Middle East,1000,56811.41,106705.21,12,,376.7,1.69,6,20,0.0,,1.0,82.49,-19,1,0.1,executive sponsor left,0.0,744,0,0,0,0,0,0,0,1,0,0,0,0.3,"(0.2, 0.4]",48h+,Detractor (-100 to 0),2-3 years
21601,Healthcare,Infra,Middle East,200,201992.54,-696.4,24,100.88,117.37,1.32,8,,,2,1.0,116.04,-60,2,0.05,,0.0,1073,0,1,0,0,0,0,1,0,0,0,0,,,,Detractor (-100 to 0),2-3 years
21602,Saas,Infra,Latam,50,,87256.25,,,509.12,10.75,5,10,2.0,2,1.0,,-9,0,0.2,,0.0,2253,0,0,1,0,0,0,0,1,0,0,1,0.5,"(0.4, 0.6]",,Detractor (-100 to 0),5-10 years
21603,Finance,E-commerce,North America,5000,249251.36,90396.48,48,79.61,486.93,17.63,3,5,1.0,3,,,-1,0,0.2,,0.0,14,0,0,1,0,0,1,0,0,0,0,0,0.6,"(0.4, 0.6]",,Detractor (-100 to 0),0-3 months
21604,Finance,,,500,,10778.59,12,67.79,686.86,29.96,9,,3.0,4,1.0,22.0,-63,1,,needs training,0.0,157,1,1,0,0,0,0,0,0,0,0,0,,,12-24h,Detractor (-100 to 0),3-6 months
21605,Energy,AI,North America,500,174898.66,,36,37.53,253.74,2.22,5,20,2.0,3,1.0,,-29,1,0.2,neutral,0.0,984,0,0,1,1,0,0,0,0,0,0,0,0.25,"(0.2, 0.4]",,Detractor (-100 to 0),2-3 years
21606,,None,Europe,200,106752.08,81553.85,,95.82,311.15,8.52,6,50,,1,1.0,28.67,,2,0.15,,0.0,44,0,0,0,0,0,0,1,0,0,1,1,0.12,"(0.0, 0.2]",24-48h,,0-3 months
21607,,Data,Middle East,10000,450110.38,65290.63,12,118.64,583.56,5.26,5,100,4.0,3,,93.15,-17,2,0.1,,0.0,3118,0,0,0,0,0,1,0,0,0,0,0,0.05,"(0.0, 0.2]",48h+,Detractor (-100 to 0),5-10 years
21608,Technology,,North America,5000,18389.82,129141.43,,,667.15,1.22,6,5,1.0,4,,114.08,59,0,0.1,renewal likely,0.0,1,0,0,0,0,0,1,0,1,0,0,1,1.2,,,Promoter (51 to 100),0-3 months
21609,Healthcare,Cloud,North America,,15837.89,,48,199.05,460.84,14.28,6,5,2.0,,0.0,,-63,1,,pricing issue,0.0,,1,0,1,1,1,0,0,0,0,0,0,1.2,,,Detractor (-100 to 0),
21610,Healthcare,,North America,1000,30274.26,99396.24,,104.52,732.56,13.05,6,,2.0,0,3.0,82.27,13,0,0.05,,0.0,555,0,1,0,0,0,0,0,0,0,0,1,,,48h+,Passive (1 to 50),18-24 months
21611,Finance,,,500,94842.06,122186.91,,29.06,618.08,0.15,7,5,,5,0.0,,-45,0,0.0,satisfied,0.0,130,0,0,1,0,0,0,1,0,0,0,1,1.4,,,Detractor (-100 to 0),3-6 months
21612,Manufacturing,E-commerce,Europe,,5440.02,103399.56,36,101.98,569.4,4.12,7,20,1.0,4,0.0,34.66,93,1,0.1,,0.0,,0,0,0,0,1,0,0,0,0,0,0,0.35,"(0.2, 0.4]",24-48h,Promoter (51 to 100),
21613,Finance,Data,Middle East,1000,26496.68,155016.41,48,58.79,583.01,1.25,6,100,1.0,6,0.0,40.62,-7,1,0.05,executive sponsor left,0.0,641,0,0,0,0,0,0,0,0,0,0,0,0.06,"(0.0, 0.2]",24-48h,Detractor (-100 to 0),18-24 months
21614,,Cloud,Apac,50,161757.99,117649.33,12,105.56,443.77,3.87,,20,1.0,7,,79.45,23,1,,,0.0,545,1,0,0,0,0,1,0,0,0,0,0,,,48h+,Passive (1 to 50),18-24 months
21615,Finance,E-commerce,North America,,198297.51,86587.17,,91.69,524.26,18.64,2,100,,,0.0,2.39,-31,4,0.0,needs training,0.0,1278,0,0,0,0,0,0,1,0,0,0,1,0.02,"(0.0, 0.2]",<6h,Detractor (-100 to 0),3-5 years
21616,Finance,,North America,10000,34892.42,95445.6,12,81.86,679.31,20.12,6,5,4.0,1,,,,0,0.1,satisfied,0.0,390,0,0,1,0,0,1,0,0,0,1,0,1.2,,,,12-18 months
21617,Saas,Cybersecurity,Latam,,259291.24,117047.48,36,114.17,,2.71,9,,1.0,6,1.0,,3,1,0.1,needs training,0.0,,0,1,1,0,1,0,0,0,1,0,0,,,,Passive (1 to 50),
21618,Technology,E-commerce,North America,1000,22476.18,160325.66,,143.46,603.04,5.87,6,20,3.0,3,,,73,0,0.2,integration problem,0.0,,0,0,1,0,1,1,0,0,0,0,1,0.3,"(0.2, 0.4]",,Promoter (51 to 100),
21619,Technology,Cloud,Latam,,4295.09,37707.75,36,77.34,744.26,7.61,6,10,3.0,,0.0,43.37,13,1,0.15,,0.0,858,0,0,0,0,0,0,0,0,0,0,0,0.6,"(0.4, 0.6]",24-48h,Passive (1 to 50),2-3 years
21620,Finance,,Europe,500,,68311.89,,149.91,,16.37,4,50,1.0,4,,42.59,100,3,0.15,integration problem,0.0,927,0,0,0,0,0,1,0,0,1,0,1,0.08,"(0.0, 0.2]",24-48h,Promoter (51 to 100),2-3 years
21621,Saas,AI,Middle East,10000,112561.5,1822.55,24,113.11,766.37,18.8,1,50,2.0,5,,51.29,47,2,0.2,,0.0,1018,0,0,0,0,0,1,0,0,0,0,0,0.02,"(0.0, 0.2]",48h+,Passive (1 to 50),2-3 years
21622,Healthcare,Data,Middle East,50,16202.71,90754.67,36,192.16,834.77,5.85,6,10,2.0,1,0.0,,43,2,0.0,,0.0,1087,0,0,1,0,0,0,0,0,0,0,0,0.6,"(0.4, 0.6]",,Passive (1 to 50),2-3 years
21623,,E-commerce,,,143584.91,89893.96,36,192.41,522.85,39.07,4,100,1.0,3,0.0,63.54,82,2,0.15,integration problem,0.0,2452,0,0,0,0,0,0,0,0,0,0,0,0.04,"(0.0, 0.2]",48h+,Promoter (51 to 100),5-10 years
21624,Healthcare,AI,Latam,10000,35054.25,,12,30.67,616.25,15.13,6,50,2.0,,0.0,73.84,-70,1,0.2,,0.0,882,0,0,0,1,0,0,0,0,0,0,0,0.12,"(0.0, 0.2]",48h+,Detractor (-100 to 0),2-3 years
21625,Finance,,Latam,500,329492.53,18758.24,36,129.61,895.84,8.4,6,20,,5,,42.05,-51,0,0.15,low usage,0.0,1491,0,0,0,0,0,1,1,0,0,0,0,0.3,"(0.2, 0.4]",24-48h,Detractor (-100 to 0),3-5 years
21626,Energy,,Apac,1000,92656.59,,12,161.46,144.18,18.05,5,,1.0,6,,,,0,0.0,needs training,0.0,85,0,1,1,1,0,1,0,0,0,1,0,,,,,0-3 months
21627,Healthcare,,Europe,1000,249369.59,72267.97,,163.69,457.68,1.58,8,,1.0,,,,63,2,,,0.0,129,1,1,1,0,0,1,0,0,0,0,1,,,,Promoter (51 to 100),3-6 months
21628,Technology,AI,Europe,50,20267.23,99432.46,24,84.5,399.82,13.11,6,50,1.0,5,0.0,108.36,-80,1,0.05,,0.0,592,0,0,0,0,0,0,0,0,0,0,0,0.12,"(0.0, 0.2]",,Detractor (-100 to 0),18-24 months
21629,Finance,Cloud,Europe,10000,634610.66,47266.27,48,182.55,439.77,,4,10,4.0,3,0.0,57.84,-18,,0.2,neutral,0.0,,0,0,0,0,1,0,0,0,0,0,0,0.4,"(0.2, 0.4]",48h+,Detractor (-100 to 0),
21630,Finance,Cloud,,1000,200902.2,82459.39,12,73.68,680.46,7.04,7,,2.0,2,,52.03,80,1,0.1,integration problem,0.0,608,0,1,0,0,0,1,0,0,0,0,0,,,48h+,Promoter (51 to 100),18-24 months
21631,Saas,Cloud,North America,500,26555.84,,36,160.59,590.4,8.13,,5,1.0,3,,73.33,-32,0,0.15,bad experince,0.0,135,0,0,0,1,0,1,0,0,0,0,0,,,48h+,Detractor (-100 to 0),3-6 months
21632,Manufacturing,,Latam,500,17814.96,90129.31,,83.14,876.22,10.39,7,20,2.0,3,1.0,,-21,0,0.05,satisfied,0.0,1203,0,0,1,0,0,0,0,0,0,0,1,0.35,"(0.2, 0.4]",,Detractor (-100 to 0),3-5 years
21633,,Cybersecurity,Europe,500,,76871.34,12,124.26,531.12,12.45,5,,2.0,4,,,-79,2,0.05,,0.0,480,0,1,1,0,0,1,0,0,0,0,0,,,,Detractor (-100 to 0),12-18 months
21634,Finance,,North America,1000,115571.46,174598.91,12,40.87,407.04,1.79,8,100,1.0,4,,23.01,22,0,0.1,satisfied,0.0,234,0,0,0,0,0,1,0,0,0,0,0,0.08,"(0.0, 0.2]",12-24h,Passive (1 to 50),6-12 months
